nombre,codigo,descripcion,url
Esmalte De Unas 3D Gel Una 8Ml,NATCHL-15822,• tecnología PRO Color & Care | • enriquecido con extracto de algas | • ingredientes que ayudan al cuidado y nutrición de las uñas | • efecto gel con protección contra la luz UV | • larga duración y brillo extraordinario en gel | • acabado profesional | • fácil remoción | • producto vegano | • sin pruebas en animales | • 9 FREE | • hipoalergénico,https://www.natura.cl/p/esmalte-de-unas-3d-gel-una-origami-110-8ml/NATCHL-15822
Esmalte De Unas 3D Gel Una 8Ml,NATCHL-15821,• tecnología PRO Color & Care | • enriquecido con extracto de algas | • ingredientes que ayudan al cuidado y nutrición de las uñas | • efecto gel con protección contra la luz UV | • larga duración y brillo extraordinario en gel | • acabado profesional | • fácil remoción | • producto vegano | • sin pruebas en animales | • 9 FREE | • hipoalergénico,https://www.natura.cl/p/esmalte-de-unas-3d-gel-una-mosaico-665-8ml/NATCHL-15821
Pincel PRO ojos esfumador,NATCHL-105715,"Pincel PRO ojos esfumador UnaPincel PRO ojos esfumadorCerdas suaves, por un lado ideal para esfumar sobre el pliegue del ojo y por el otro para depositar producto.Ideal para: Sombras en polvo o cremosasSobre la línea UnaNatura UNA es una línea premium y sofisticada de maquillaje, que despierta el placer por los sentidos. Uniendo performance y tecnología con ingredientes naturales que cuidan la piel de una manera única y que buscan resultados profesionales.",https://www.natura.cl/p/pincel-pro-ojos-esfumador-una/NATCHL-105715
Base Líquida Faces Checkmatte,NATCHL-166338,"base con acabado mate, larga duración, cobertura media y activos de cuidado de la piel.• base resistente al agua y al sudor • formulada con ácido salicílico, que controla la oleosidad y deja la piel sequita todo el día • enriquecida con vitamina E, que tiene acción antioxidante e hidratante • protege de la luz azul • producto no comedogénico • minimiza la apariencia de los poros y disimula imperfecciones • dermatológicamente y oftalmológicamente probado • para todo tipo de piel.",https://www.natura.cl/p/base-liquida-faces-checkmatte-25-ml/NATCHL-166338
Rubor Faces,NATCHL-9432,• textura suave | • dejándola con un aspecto saludable | • llevar contigo a todos lados | • reaplica cuantas veces quieras | • dermatológicamente probado | • edad recomendada: a partir de los 18 años | • cruelty free | • zona de aplicación: rostro,https://www.natura.cl/p/rubor-faces-vino-28-3g/NATCHL-9432
Labial mate intransferible de larga duración Faces,NATCHL-111424,"el color que acompaña tu ritmoLabial mate intransferible de larga duración Faces Chocolate Mousse Un labial que dura por hasta 12 horas, no transfiere, puedes utilizarlo para boca y mejillas como también protege de la luz de las pantallas del celular y computador.Contenido5,5 mlSobre la línea Faces:Faces es una marca de belleza urbana para cuidarse, inventarse y reinventarse. Da color y valentía, para expresar tu belleza del espejo hacia adentro y de la puerta hacia afuera. Y salir a la calle con actitudes positivas, que se reflejan en el próximo y en el alrededor. Faces se trata de una bellez",https://www.natura.cl/p/labial-mate-intransferible-de-larga-duracion-faces-chocolate-mousse-55-ml/NATCHL-111424
Esmalte De Unas 3D Gel Una 8Ml,NATCHL-15479,• tecnología PRO Color & Care | • enriquecido con extracto de algas | • ingredientes que ayudan al cuidado y nutrición de las uñas | • efecto gel con protección contra la luz UV | • larga duración y brillo extraordinario en gel | • acabado profesional | • fácil remoción | • producto vegano | • sin pruebas en animales | • 9 FREE | • hipoalergénico,https://www.natura.cl/p/esmalte-de-unas-3d-gel-una-palette-730-8ml/NATCHL-15479
Repuesto Colonia Infantil Naturé Salta salta 100ml,NATCHL-146474,"• fragancia con el aroma fresco de jugar en el agua | • perfume suave que combina frutas jugosas, ligereza y ternura | • incentiva a los niños a explorar los aromas de la naturaleza | • una invitación a jugar al aire libre | • sin colorantes artificiales | • no contiene alcohol | • con hasta 88% de ingredientes de origen natural y de la biodiversidad brasileña | • concentración: eau de cologne | • edad sugerida: 4 a 8 años | • cruelty free | • vegano | • ocasión: uso diario, después del baño",https://www.natura.cl/p/repuesto-colonia-nature-salta-salta-100-ml/NATCHL-146474
Cartas Creer para Ver,NATCHL-215798,baraja inglesa de 52 cartas. • ¿y si pudieras transformar vidas a través de la educación? • regala Creer para Ver y escribamos juntos un futuro lleno de oportunidades • 100% de lo recaudado es invertido para mejorar la educación del país • baraja inglesa de 52 cartas hecho de cartón reciclado.,https://www.natura.cl/p/cartas-creer-para-ver/NATCHL-215798
Labial Hidra Faces,NATCHL-4953,"Labial Hidra Violeta 603 Faces - 3,5 gLa calidad que ya conoces ahora con Faces. Los labiales Color Hidra tienen colores vivos e intensos para que uses, mezcles y abuses. Su fórmula ultra cremosa hidrata inmediatamente, dejando tus labios suaves durante todo el día. Contiene manteca de cacao y protección FPS 8.",https://www.natura.cl/p/labial-hidra-violeta-603-faces-35-g/NATCHL-4953
